id,Census,Gender,location
Aaron A,1754,Male,Mansion House
Abram A,1799,Male,Dogue Run
Abram C,1779,Male,River Farm
Adam B,1786,Male,River Farm
Adam C,1790,Male,Dogue Run
Agnes A,1799,Female,River Farm
Agnes B,1799,Female,Dogue Run
Alce B,1799,Female,Muddy Hole
Alce C,1799,Female,Mansion House
Alce D,1799,Female,River Farm
Alce F,1787,Female,Mansion House
Alla A,1799,Female,Mansion House
Ambrose B,1787,Male,River Farm
Amy A,1799,Female,Muddy Hole
Andrew A,1789,Male,Dogue Run
Anna A,1799,Female,Mansion House
Anteno A,1754,Male,Mansion House
Anthony A,1799,Male,Mansion House
Anthony B,1763,Male,Mansion House
Arlington A,1774,Male,River Farm
Austin A,1794,Male,Mansion House
Bacchus A,1774,Male,Mansion House
Barbara B,1754,Female,Mansion House
Barbara C,1754,Female,Mansion House
Barbary A,1799,Female,Dogue Run
Bath A,1792,Male,River Farm
Beck B,1792,Female,Mansion House
Ben B,1799,Male,Mill Complex
Ben C,1799,Male,River Farm
Ben D,1799,Male,River Farm
Ben E,1799,Male,Dogue Run
Ben G,1795,Male,River Farm
Ben Hubbard,1799,Male,Mansion House
Betty A,1799,Female,Union Farm
Betty B,1799,Female,River Farm
Betty C,1799,Female,Dogue Run
Betty D,1799,Female,Union Farm
Betty Davis,1799,Female,Dogue Run
Betty E,1774,Female,Dogue Run
Betty M,1795,Female,Mansion House
Betty N,1761,Female,River Farm
Betty O,1762,Female,Muddy Hole
Betty P,1766,Female,Mansion House
Bill Langston,1789,Male,Union Farm
Billy D,1789,Male,Dogue Run
Boatswain A,1799,Male,Mansion House
Boatswain B,1794,Male,Mansion House
Bob C,1774,Male,Dogue Run
Breechy A,1799,Male,River Farm
Bristol A,1795,Male,Mansion House
Brunswick A,1791,Male,Dogue Run
Brunswick B,1770,Male,Mansion House
Caesar A,1799,Male,Union Farm
Caesar B,1763,Male,Dogue Run
Caroline A,1799,Female,Mansion House
Cecelia A,1799,Female,River Farm
Charity B,1799,Female,Dogue Run
Charles A,1799,Male,Muddy Hole
Charles G,1765,Male,Mansion House
Charles Freeman,1799,Male,Mansion House
Charlotte A,1799,Female,Mansion House
Christopher Sheels,1799,Male,Mansion House
Cloe A,1799,Female,River Farm
Cornelia A,1799,Female,River Farm
Couta A,1754,Female,Mansion House
Crager A,1789,Unknown,Dogue Run
Cupid A,1795,Male,Union Farm
Cupid B,1766,Male,River Farm
Cynthia A,1788,Female,River Farm
Cyrus A,1799,Male,Mansion House
Daniel A,1799,Male,Union Farm
Daniel C,1799,Male,River Farm
Daniel D,1799,Male,Union Farm
Daniel F,1795,Male,Dogue Run
Daphne B,1799,Female,Dogue Run
Daphne C,1799,Female,River Farm
Daphne D,1799,Female,Union Farm
Daphne E,1789,Female,River Farm
Daphne F,1774,Female,Mansion House
Darcus A,1799,Female,Muddy Hole
Darcus C,1760,Female,Mansion House
Davy A,1799,Male,Mill Complex
Davy F,1774,Male,Mansion House
Davy G,1774,Male,Mansion House
Davy Gray,1799,Male,River Farm
Delia A,1799,Female,Mansion House
Delia B,1799,Female,Dogue Run
Delphy A,1799,Female,Mansion House
Dick B,1799,Male,Dogue Run
Dick E,1774,Male,Mansion House
Doll A,1799,Female,Mansion House
Doll B,1799,Female,Union Farm
Doll C,1799,Female,River Farm
Doll D,1799,Female,River Farm
Dolshy A,1799,Female,Mansion House
Dorothy A,1785,Female,River Farm
Dublin A,1761,Male,Muddy Hole
Dula A,1754,Female,Mansion House
Dundee B,1774,Male,Muddy Hole
Edmund A,1792,Male,Union Farm
Edy A,1799,Female,Union Farm
Elly A,1789,Female,Dogue Run
Essex A,1789,Male,River Farm
Esther A,1799,Female,River Farm
Eve A,1799,Female,Mansion House
Fanny A,1799,Female,Union Farm
Fanny B,1799,Female,River Farm
Fattimore A,1774,Female,Mill Complex
Fattimore B,1774,Female,Mill Complex
Flora A,1799,Female,Union Farm
Flora B,1764,Female,River Farm
Forrester A,1799,Male,Muddy Hole
Frank B,1799,Male,Mansion House
Frank I,1774,Female,River Farm
Frank Lee,1799,Male,Mansion House
Frederick A,1781,Male,River Farm
Gabriel A,1799,Male,Muddy Hole
George A,1799,Male,Mansion House
George G,1785,Male,River Farm
George H,1766,Male,River Farm
George I,1774,Male,Mansion House
George J,1789,Male,Dogue Run
George P,1774,Male,Mansion House
Gideon A,1799,Male,Union Farm
Giles A,1791,Male,Mansion House
Glasgow A,1754,Male,Mansion House
Godfrey A,1799,Male,Union Farm
Grace A,1799,Female,Mansion House
Grace B,1799,Female,Dogue Run
Grace C,1799,Female,Union Farm
Grace E,1762,Female,Muddy Hole
Grig A,1765,Male,Muddy Hole
Gunner A,1799,Male,Mansion House
Guy B,1763,Male,Mansion House
Hannah B,1799,Female,River Farm
Hannah C,1799,Female,River Farm
Hannah D,1799,Female,Dogue Run
Hannah E,1799,Female,Union Farm
Hannah F,1789,Female,Dogue Run
Hanson A,1799,Male,Union Farm
Harry A,1799,Male,Mansion House
Henry A,1799,Male,River Farm
Hercules A,1798,Male,Mansion House
Heuky A,1799,Male,River Farm
Isaac A,1799,Male,Mansion House
Isaac B,1799,Male,Muddy Hole
Isaac C,1799,Male,Union Farm
Isbel A,1799,Female,Muddy Hole
Jack A,1799,Male,River Farm
Jack B,1765,Male,Mansion House
Jack C,1799,Male,Dogue Run
Jack D,1799,Male,Dogue Run
Jack G,1795,Male,Mansion House
Jack H,1791,Male,Mansion House
Jack I,1795,Male,Mansion House
Jack Q,1772,Male,Union Farm
Jack U,1763,Male,Mansion House
Jacob A,1799,Male,Union Farm
James A,1799,Male,Mansion House
James B,1799,Male,River Farm
James D,1799,Male,Mill Complex
James E,1778,Male,Mansion House
James I,1762,Male,Mansion House
Jenny B,1799,Female,Mansion House
Jenny D,1799,Female,Union Farm
Jenny E,1790,Female,Dogue Run
Jenny F,1794,Female,Dogue Run
Jenny G,1774,Female,Muddy Hole
Jenny L,1774,Female,Mill Complex
Jesse B,1792,Male,Dogue Run
Joan A,1786,Female,Dogue Run
Joe A,1799,Male,River Farm
Joe B,1799,Male,River Farm
Joe C,1799,Male,Mansion House
Joe E,1799,Male,Union Farm
Joe G,1799,Male,River Farm
Joe O,1774,Male,Mansion House
Joe Q,1771,Male,Mansion House
John C,1799,Male,Union Farm
Johnny A,1799,Male,River Farm
Judith A,1760,Female,Mansion House
Judy A,1799,Female,River Farm
Judy B,1799,Female,Mansion House
Judy C,1799,Female,River Farm
Julius A,1799,Male,Union Farm
Julius B,1774,Male,Mansion House
Jupiter A,1794,Male,Muddy Hole
Jupiter B,1770,Male,Mansion House
Kate A,1799,Female,Muddy Hole
Kate B,1799,Female,Muddy Hole
Kate C,1799,Female,Muddy Hole
Kate D,1799,Female,Dogue Run
Kate H,1769,Female,Mansion House
Kitty A,1799,Female,Mansion House
Kitty B,1767,Female,Mill Complex
Lawrence A,1799,Male,Dogue Run
Lawrence B,1789,Male,Dogue Run
Lett A,1754,Female,Mansion House
Letty A,1799,Female,Mansion House
Letty B,1799,Female,Muddy Hole
Lewis C,1781,Male,Mansion House
Linny A,1799,Female,Mansion House
London A,1799,Male,Union Farm
London B,1765,Male,Dogue Run
Lucretia A,1799,Female,Union Farm
Lucy A,1799,Female,Dogue Run
Lucy C,1799,Female,Union Farm
Lucy D,1799,Female,River Farm
Lucy E,1799,Female,Mansion House
Lucy G,1799,Female,Union Farm
Lucy H,1799,Female,Union Farm
Lydia A,1799,Female,River Farm
Lydia C,1762,Female,Mansion House
Marcus A,1799,Male,River Farm
Margaret Lee,1784,Female,Other Location
Matilda A,1799,Female,Mansion House
Matilda B,1799,Female,Union Farm
Matt A,1797,Male,Dogue Run
Michael A,1775,Male,Mansion House
Mike A,1799,Male,Union Farm
Milly A,1789,Female,River Farm
Milly B,1799,Female,Union Farm
Milly C,1799,Female,Union Farm
Milly E,1774,Female,River Farm
Mima A,1799,Female,Mansion House
Moll A,1799,Female,Mansion House
Moll B,1774,Female,Union Farm
Molly B,1799,Female,Muddy Hole
Molly C,1799,Female,River Farm
Molly D,1799,Female,Dogue Run
Molly F,1766,Female,River Farm
Morris A,1795,Male,Dogue Run
Morris B,1792,Male,Dogue Run
Moses A,1799,Male,Muddy Hole
Moses B,1799,Male,River Farm
Moses C,1799,Male,Union Farm
Muclus A,1799,Male,River Farm
Murria A,1792,Female,River Farm
Nace A,1774,Male,Mansion House
Nan K,1785,Female,River Farm
Nancy E,1799,Female,Mansion House
Nancy F,1799,Female,Muddy Hole
Nancy I,1799,Female,Union Farm
Nanny A,1799,Female,Muddy Hole
Nanny C,1789,Female,Muddy Hole
Nathan A,1799,Male,Mansion House
Natt A,1799,Male,Mansion House
Natt B,1799,Male,River Farm
Natt C,1799,Male,River Farm
Ned A,1799,Male,Dogue Run
Ned B,1799,Male,River Farm
Ned C,1799,Male,River Farm
Ned Holt,1770,Male,Mill Complex
Ned P,1774,Male,Union Farm
Nell B,1774,Female,Mansion House
Nell C,1774,Female,River Farm
Neptune A,1774,Male,River Farm
Oney Judge,1795,Female,Mansion House
Orford A,1776,Male,Dogue Run
Paris A,1794,Male,Union Farm
Paris B,1770,Male,Dogue Run
Paschall A,1799,Male,Union Farm
Patience A,1799,Female,Union Farm
Patt A,1799,Female,Union Farm
Paul A,1799,Male,Union Farm
Paul B,1771,Male,Dogue Run
Paul C,1795,Male,Union Farm
Peg A,1799,Female,Muddy Hole
Peg B,1799,Female,River Farm
Peg C,1799,Female,Dogue Run
Penny A,1799,Female,River Farm
Perished Child - Alce (b. 1782),1782,Unknown,Mansion House
Perished Child - Alce (b. 1784),1784,Unknown,Mansion House
Perished Child - Amy (b. 1785),1785,Unknown,Muddy Hole
Perished Child - Betty (b. 1778),1778,Unknown,Union Farm
Perished Child - Caroline (b. 1783),1783,Unknown,Mansion House
Perished Child - Doll (b. 1759),1759,Unknown,Mansion House
Perished Child - Doll (b. 1777),1777,Unknown,Union Farm
Perished Child - Doll (b. 1778),1778,Unknown,Union Farm
Perished Child - Fanny (b. 1783),1783,Unknown,Union Farm
Perished Child - Joan (b. 1774),1774,Unknown,Dogue Run
Perished Child - Peg (b. 1786),1786,Male,Muddy Hole
Peter A,1799,Male,River Farm
Peter C,1799,Male,Mansion House
Peter F,1781,Male,Mansion House
Peter Hardman,1799,Male,Mansion House
Phil A,1799,Male,Union Farm
Phillis C,1774,Female,Mansion House
Phoebe A,1789,Female,River Farm
Phoebe B,1775,Female,Mansion House
Priscilla A,1799,Female,Dogue Run
Priscilla B,1776,Female,Mill Complex
Rachel B,1799,Female,Union Farm
Richmond A,1799,Male,Mansion House
Robin A,1799,Male,River Farm
Robin B,1795,Male,Mansion House
Rose A,1799,Female,River Farm
Rose B,1799,Female,Union Farm
Ruth A,1799,Female,River Farm
Sabine A,1799,Female,Union Farm
Sall A,1799,Female,Mansion House
Sall Brass,1799,Female,Mansion House
Sall Twine,1799,Female,Dogue Run
Sam A,1799,Male,Mansion House
Sam C,1771,Male,Muddy Hole
Sam I,1769,Male,Mansion House
Sam Kitt,1799,Male,Union Farm
Sambo A,1799,Male,Mansion House
Sarah B,1774,Female,Mansion House
Sarah D,1774,Female,Mansion House
Sarah Flatfoot,1799,Female,Dogue Run
Sarah G,1768,Female,River Farm
Sarah K,1799,Female,Muddy Hole
Savary A,1799,Female,Dogue Run
Schomberg A,1790,Male,Mansion House
Schomberg B,1774,Male,River Farm
Scipio B,1774,Male,River Farm
Simms A,1799,Male,Mansion House
Simon B,1799,Male,Dogue Run
Sinah A,1799,Female,Mansion House
Siss B,1799,Female,Union Farm
Sophia A,1799,Female,Dogue Run
Spencer A,1799,Male,Union Farm
Stafford A,1774,Male,Mansion House
Suckey B,1799,Female,Muddy Hole
Suckey Bay,1799,Female,River Farm
Suckey C,1799,Female,River Farm
Sue A,1799,Female,Dogue Run
Sue C,1754,Female,Mansion House
Timothy A,1799,Male,Mansion House
Tom A,1799,Male,Mill Complex
Tom D,1799,Male,Union Farm
Tom Davis,1799,Male,Mansion House
Tom E,1766,Male,River Farm
Tom Nokes,1789,Male,Mansion House
Tom S,1760,Male,Muddy Hole
Townshend A,1799,Male,Muddy Hole
Troy A,1762,Male,Dogue Run
Unknown Person A,1799,Female,Other Location
Unknown Person B,1799,Female,Other Location
Unknown Person C,1799,Male,Other Location
Unknown Person D,1799,Male,Other Location
Unknown Person E,1799,Female,Other Location
Unknown Person F,1799,Male,Other Location
Unknown Person G,1775,Female,Other Location
Unknown Person H,1799,Male,Other Location
Unknown Person I,1799,Female,Other Location
Unknown Person J,1799,Male,Other Location
Unknown Person K,1791,Female,Other Location
Unknown Person L,1774,Female,Other Location
Uriah A,1799,Male,Muddy Hole
Viner A,1799,Female,Mansion House
Virgin A,1799,Female,Muddy Hole
Wally A,1772,Male,Dogue Run
Will B,1799,Male,Mansion House
Will C,1799,Male,Muddy Hole
Will D,1799,Male,Union Farm
Will E,1792,Male,Muddy Hole
Will F,1789,Male,River Farm
Will H,1793,Male,Muddy Hole
Will L,1754,Male,Mansion House
Will N,1772,Male,Mansion House
William Lee,1799,Male,Mansion House
Wilson A,1799,Male,Mansion House
Winny A,1786,Female,Mansion House